Orientation [°],Layer Height [mm],Nozzle Diameter [mm],Print Speed [mm/min],Avg Temperature [°C],Avg Filament Speed [mm/s],Avg Force [g],Modulus [MPa],Tensile Stress at Tensile Strength [MPa],Run,Sample,Notes,Filepath
0,0.2,0.3,3600,227.49,1.37,1366.14,2458.18,39.47,2,2,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_3600/2_25_100_02_03_3600_0_JB.csv
0,0.2,0.3,3600,227.52,1.37,1270.16,2189.55,38.06,2,3,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_3600/2_25_100_02_03_3600_0_JB.csv
0,0.2,0.3,3600,227.39,1.37,1389.11,2337.33,38.98,2,4,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_3600/2_25_100_02_03_3600_0_JB.csv
0,0.2,0.4,1200,232.54,0.67,470.88,2814.21,36.85,1,1,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_04_1200/1_100_25_02_04_1200_0_S.csv
0,0.2,0.4,1200,232.93,0.68,368.59,2383.22,37.66,1,2,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_04_1200/1_100_25_02_04_1200_0_S.csv
0,0.2,0.4,1200,233.13,0.67,240.48,3149.76,37.91,1,3,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_04_1200/1_100_25_02_04_1200_0_S.csv
0,0.2,0.4,1200,232.8,0.67,263.50,2020.67,36.53,1,4,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_04_1200/1_100_25_02_04_1200_0_S.csv
0,0.2,0.4,1200,232.54,0.67,461.99,3943.20,36.68,2,1,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_04_1200/2_100_25_02_04_1200_0_S.csv
0,0.2,0.4,1200,232.94,0.67,317.61,2529.10,38.10,2,2,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_04_1200/2_100_25_02_04_1200_0_S.csv
0,0.2,0.4,1200,233.2,0.67,196.85,2243.16,38.20,2,3,S,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_04_1200/2_100_25_02_04_1200_0_S.csv
